NAME,CODE,IS_GROUP,CHILDREN,HIERARCHY,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL9,LEVEL10,LEVEL11,LEVEL12,LEVEL13,LEVEL14,LEVEL15,LEVEL16,LEVEL17,LEVEL18,LEVEL19,LEVEL20
Spring Rapeseed,SPRNG_RAPESD,false,,ALL#AGS#BULK_AGS#OILSEEDS_BYPOILSEEDS#OILSEEDS#TURNRAPE#RSS_BYPRSS#RSS#RSS_SPRING#SPRNG_RAPESD,ALL,AGS,BULK_AGS,OILSEEDS_BYPOILSEEDS,OILSEEDS,TURNRAPE,RSS_BYPRSS,RSS,RSS_SPRING,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD
SHALLOT GARLIC,SGAR,false,,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR
Whey and Product Consisting of Natural Milk Constituents,WHEY_PCNMC,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#DAIRY#WHEY_PCNMC,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,DAIRY,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC
Carabeef meat,CARABEEFMEAT,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#MEAT#CARABEEFMEAT,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,MEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT
Peanut Expellers,PNEXP,false,,ALL#AGS#BULK_AGS#OILSEEDS_BYPOILSEEDS#OILSEEDS#NUTS#PEANUT#PNM#PNEXP,ALL,AGS,BULK_AGS,OILSEEDS_BYPOILSEEDS,OILSEEDS,NUTS,PEANUT,PNM,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP
Pineapple,PINEAPPLE,false,,ALL#AGS#PINEAPPLE,ALL,AGS,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE
soya cake and meal,SOYA_CAKE_MEAL,false,,ALL#AGS#BULK_AGS#LIVESTOCK#COMP_FEED#SOYA_CAKE_MEAL,ALL,AGS,BULK_AGS,LIVESTOCK,COMP_FEED,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL
Calcinit,CALCIN,false,,ALL#AGS#FERT#NITROGEN#FERTNITRO#FERTDN_OTHER#CANO32#CALCIN,ALL,AGS,FERT,NITROGEN,FERTNITRO,FERTDN_OTHER,CANO32,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN
Duck breeder Super-M,DBSM,false,,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM
"Meat, bone and fish meal",MEAT_BONE_FISH_MEAL,false,,ALL#AGS#BULK_AGS#LIVESTOCK#COMP_FEED#FEED_INGREDIENTS#MEAT_BONE_FISH_MEAL,ALL,AGS,BULK_AGS,LIVESTOCK,COMP_FEED,FEED_INGREDIENTS,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL
Village Chicken Eggs,VILLAGECHICKENEGGS,false,,ALL#AGS#BULK_AGS#LIVESTOCK#LANI#LCHK#CHICK#EGGSCHICKEN#VILLAGECHICKENEGGS,ALL,AGS,BULK_AGS,LIVESTOCK,LANI,LCHK,CHICK,EGGSCHICKEN,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS
Bee colonies,BEE-COLONY,false,,HONEY-BEE#BEE-COLONY,HONEY-BEE,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY
Pork belly slices,PORK_BELLY_SLICES,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#MEAT#PORK#PORKBELLY#PORK_BELLY_SLICES,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,MEAT,PORK,PORKBELLY,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES
Fall Rye (seeded in previous fall),FRYE,false,,ALL#AGS#BULK_AGS#GRAINS_BYPGRAINS#GRAINS#RYE_BYPRYE#RYE#FRYE,ALL,AGS,BULK_AGS,GRAINS_BYPGRAINS,GRAINS,RYE_BYPRYE,RYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE
Goldfish,GOLDFISH,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#FISH#FFISH#GOLDFISH,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,FISH,FFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH
