"Cut-Off Date","Data Source","Data Source_MappedName","Country Reporter","Country Reporter_MappedName","Port Reporter","Port Reporter_MappedName","Country Partner","Country Partner_MappedName","Trade Direction","Trade Direction_MappedName","Product","Product_MappedName","Product Origin","Product Origin_MappedName","Quantity","Quantity Unit","Quantity Unit_MappedName","Quantity Unit multiplier","Date Reporter","Shipper","Shipper_MappedName","Receiver","Receiver_MappedName"
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"PAN","Panama","Export","Export","BLY","Barley",,,1250.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"USA","United States","Export","Export","BLY","Barley",,,422.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"HKG","Hong Kong","Export","Export","OAT","Oat",,,2527.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"FRA","France","Export","Export","OAT","Oat",,,200.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"USA","United States","Export","Export","OAT","Oat",,,1362.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"ARG","Argentina","Export","Export","CRN","Corn",,,20.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"RUS","Russian Federation","Export","Export","CRN","Corn",,,59380.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"BGD","Bangladesh","Export","Export","RICE","Rice",,,42.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"PAK","Pakistan","Export","Export","RICE","Rice",,,2465000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"PHL","Philippines","Export","Export","RICE","Rice",,,20000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"VNM","Vietnam","Export","Export","RICE","Rice",,,14000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"PAK","Pakistan","Export","Export","RICE","Rice",,,50000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"HKG","Hong Kong","Export","Export","RICE","Rice",,,10000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"KOR","South Korea","Export","Export","RICE","Rice",,,35000000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"COG","Congo","Export","Export","RICE","Rice",,,184000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"STP","Sao Tome And Principe","Export","Export","RICE","Rice",,,416000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"SLE","Sierra Leone","Export","Export","RICE","Rice",,,460000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"TGO","Togo","Export","Export","RICE","Rice",,,1270000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"UGA","Uganda","Export","Export","RICE","Rice",,,575000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"BFA","Burkina Faso","Export","Export","RICE","Rice",,,310000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"ZMB","Zambia","Export","Export","RICE","Rice",,,940000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"LSO","Lesotho","Export","Export","RICE","Rice",,,160000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"RUS","Russian Federation","Export","Export","RICE","Rice",,,19996.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"HKG","Hong Kong","Export","Export","RICE","Rice",,,436000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
,"CHNCUSTOMS","China Customs Statistics","CHN","China",,,"JPN","Japan","Export","Export","RICE","Rice",,,12060000.000000,"MT","Metric Ton",0.001000,"2025-01-01",,,,
