Cut-Off Date,Data Source,Data Source_MappedName,Country Reporter,Country Reporter_MappedName,Port Reporter,Port Reporter_MappedName,Country Partner,Country Partner_MappedName,Trade Direction,Trade Direction_MappedName,Product,Product_MappedName,Product Origin,Product Origin_MappedName,Quantity,Quantity Unit,Quantity Unit_MappedName,Quantity Unit multiplier,Date Reporter,Shipper,Shipper_MappedName,Receiver,Receiver_MappedName,Value,Currency,Currency_MappedName,Value Unit Multiplier,HS Code,HS Code Description,Quantity 2,Quantity 2 Unit,Quantity 2 Unit_MappedName,Quantity 2 Unit multiplier
2024-01-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,13500.0,MT,Metric Ton,1.0,2024-01-01,,,,,,,,,1201900000,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,5500.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2022-09-01,dnexr,Dnext Research,VEN,Venezuela,,,NLD,Netherlands,Export,Export,,Not Available,,,450000.0,MT,Metric Ton,1.0,2022-09-01,,,,,,,,,7203100000,,,,,
2023-11-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,0.12,MT,Metric Ton,1.0,2023-11-01,,,,,,,,,1201900000,,,,,
2021-07-01,dnexr,Dnext Research,VEN,Venezuela,,,COL,Colombia,Export,Export,POL,Palm Oil,,,340.0,MT,Metric Ton,1.0,2021-07-01,,,,,,,,,1511100000,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,20000.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,17875.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2023-11-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,27725.2,MT,Metric Ton,1.0,2023-11-01,,,,,,,,,1201900000,,,,,
2022-12-01,dnexr,Dnext Research,VEN,Venezuela,,,CHN,China,Export,Export,,Not Available,,,302870.0,MT,Metric Ton,1.0,2022-12-01,,,,,,,,,7203100000,,,,,
2021-07-01,dnexr,Dnext Research,VEN,Venezuela,,,COL,Colombia,Export,Export,POL,Palm Oil,,,340.0,MT,Metric Ton,1.0,2021-07-01,,,,,,,,,1511100000,,,,,
