Product,Location,Item,Cut-off Date,Value,Value Period,Value Period multiplier,Value Period Aggregation Type,Crop Year,Value Unit,Value Unit multiplier
Corn,Argentina,area_planted,2025-02-01,7100,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,CENTRAL ENTRE RIOS,area_planted,2026-02-01,329,YEAR,1,SUM,2025/2026,Hectare,1000
Corn,NORTH BELT,area_planted,2026-02-01,822.9,YEAR,1,SUM,2025/2026,Hectare,1000
Corn,CENTRAL NORTH SANTA FE,area_planted,2026-02-01,193.55,YEAR,1,SUM,2025/2026,Hectare,1000
Corn,SOUTH CORDOBA,area_planted,2026-02-01,1191.48,YEAR,1,SUM,2025/2026,Hectare,1000
Corn,CENTRAL NORTH CORDOBA,area_planted,2026-02-01,958.8,YEAR,1,SUM,2025/2026,Hectare,1000
Corn,CHACO SANTIAGO,area_planted,2026-02-01,612.7,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,Argentina,area_planted,2025-11-01,6700,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,Argentina_Others,area_planted,2025-11-01,23,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,Cuenca del Salado,area_planted,2025-11-01,110,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,SAN LUIS ARG,area_planted,2025-11-01,11.9,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,SOUTH EAST BUENOS AIRES,area_planted,2025-11-01,801,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2025-11-01,780,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,CENTRAL BUENOS AIRES,area_planted,2025-11-01,302.1,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2025-11-01,499,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,CENTRAL ENTRE RIOS,area_planted,2025-11-01,619,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,SOUTH BELT,area_planted,2025-11-01,696.8,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,NORTH BELT,area_planted,2025-11-01,723.2,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,CENTRAL NORTH SANTA FE,area_planted,2025-11-01,508,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,SOUTH CORDOBA,area_planted,2025-11-01,240.6,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,CENTRAL NORTH CORDOBA,area_planted,2025-11-01,552.4,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,CHACO SANTIAGO,area_planted,2025-11-01,511,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,SALTA TUCUMAN,area_planted,2025-11-01,322,YEAR,1,SUM,2025/2026,Hectare,1000
Corn,SOUTH BELT,area_planted,2026-02-01,669.1,YEAR,1,SUM,2025/2026,Hectare,1000
Corn,SALTA TUCUMAN,area_planted,2026-02-01,387.45,YEAR,1,SUM,2025/2026,Hectare,1000
Corn,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2026-02-01,1039.61,YEAR,1,SUM,2025/2026,Hectare,1000
Soybean,CENTRAL NORTH SANTA FE,area_planted,2026-01-01,1168.77,YEAR,1,SUM,2025/2026,Hectare,1000
Soybean,Argentina_Others,area_planted,2026-01-01,78,YEAR,1,SUM,2025/2026,Hectare,1000
Soybean,Cuenca del Salado,area_planted,2026-01-01,168.44,YEAR,1,SUM,2025/2026,Hectare,1000
Soybean,SAN LUIS ARG,area_planted,2026-01-01,263.27,YEAR,1,SUM,2025/2026,Hectare,1000
Corn,CENTRAL BUENOS AIRES,area_planted,2026-02-01,367.53,YEAR,1,SUM,2025/2026,Hectare,1000
Soybean,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2026-01-01,393.63,YEAR,1,SUM,2025/2026,Hectare,1000
Soybean,CENTRAL BUENOS AIRES,area_planted,2026-01-01,769.2,YEAR,1,SUM,2025/2026,Hectare,1000
Soybean,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2026-01-01,1813.1,YEAR,1,SUM,2025/2026,Hectare,1000
Soybean,CENTRAL ENTRE RIOS,area_planted,2026-01-01,992.31,YEAR,1,SUM,2025/2026,Hectare,1000
Soybean,SOUTH BELT,area_planted,2026-01-01,2359.8,YEAR,1,SUM,2025/2026,Hectare,1000
Soybean,NORTH BELT,area_planted,2026-01-01,2277.21,YEAR,1,SUM,2025/2026,Hectare,1000
Soybean,SOUTH EAST BUENOS AIRES,area_planted,2026-01-01,922.52,YEAR,1,SUM,2025/2026,Hectare,1000
Soybean,SOUTH CORDOBA,area_planted,2026-01-01,1715.52,YEAR,1,SUM,2025/2026,Hectare,1000
Corn,Argentina_Others,area_planted,2026-02-01,15,YEAR,1,SUM,2025/2026,Hectare,1000
Soybean,CENTRAL NORTH CORDOBA,area_planted,2026-01-01,1822.28,YEAR,1,SUM,2025/2026,Hectare,1000
Corn,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2026-02-01,339.2,YEAR,1,SUM,2025/2026,Hectare,1000
Corn,SAN LUIS ARG,area_planted,2026-02-01,309.2,YEAR,1,SUM,2025/2026,Hectare,1000
Corn,Cuenca del Salado,area_planted,2026-02-01,96,YEAR,1,SUM,2025/2026,Hectare,1000
Corn,SOUTH EAST BUENOS AIRES,area_planted,2026-02-01,468.48,YEAR,1,SUM,2025/2026,Hectare,1000
Soybean,Argentina,area_planted,2025-01-01,18400,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,SALTA TUCUMAN,area_planted,2026-01-01,1151.74,YEAR,1,SUM,2025/2026,Hectare,1000
Soybean,CHACO SANTIAGO,area_planted,2026-01-01,1704.21,YEAR,1,SUM,2025/2026,Hectare,1000
Soft wheat,CHACO SANTIAGO,area_planted,2024-11-01,419,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,SALTA TUCUMAN,area_planted,2024-11-01,280,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,SOUTH CORDOBA,area_planted,2025-02-01,1086.45,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,NORTH BELT,area_planted,2025-02-01,685.72,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,SOUTH BELT,area_planted,2025-02-01,608.76,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,CENTRAL ENTRE RIOS,area_planted,2025-02-01,267,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2025-02-01,1006.4,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,CENTRAL BUENOS AIRES,area_planted,2025-02-01,330.3,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2025-02-01,333.2,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,SOUTH EAST BUENOS AIRES,area_planted,2025-02-01,457.3,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,SAN LUIS ARG,area_planted,2025-02-01,313.2,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,Cuenca del Salado,area_planted,2025-02-01,95.07,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,Argentina,area_harvested,2025-02-01,6825.694,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,SALTA TUCUMAN,area_planted,2025-01-01,1180.2,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,CHACO SANTIAGO,area_planted,2025-01-01,1859.8,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,CENTRAL NORTH CORDOBA,area_planted,2025-01-01,1946,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,SOUTH CORDOBA,area_planted,2025-01-01,1809,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,CENTRAL NORTH SANTA FE,area_planted,2025-01-01,1232.8,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,NORTH BELT,area_planted,2025-01-01,2384.4,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,SOUTH BELT,area_planted,2025-01-01,2467,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,CENTRAL ENTRE RIOS,area_planted,2025-01-01,1058.3,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2025-01-01,1815.6,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,CENTRAL BUENOS AIRES,area_planted,2025-01-01,782,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2025-01-01,400.4,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,SOUTH EAST BUENOS AIRES,area_planted,2025-01-01,939,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,SAN LUIS ARG,area_planted,2025-01-01,273.6,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,Cuenca del Salado,area_planted,2025-01-01,173.9,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,Argentina_Others,area_planted,2025-01-01,78,YEAR,1,SUM,2024/2025,Hectare,1000
Soybean,Argentina,area_harvested,2025-01-01,16949.282,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,CENTRAL NORTH SANTA FE,area_planted,2025-02-01,157.61,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,Argentina_Others,area_planted,2025-02-01,23,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,CENTRAL NORTH CORDOBA,area_planted,2025-02-01,850.29,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,SOUTH CORDOBA,area_planted,2024-11-01,227,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,CHACO SANTIAGO,area_planted,2025-02-01,538.7,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,CENTRAL NORTH CORDOBA,area_planted,2024-11-01,449,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,CENTRAL NORTH SANTA FE,area_planted,2024-11-01,508,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,SOUTH EAST BUENOS AIRES,area_planted,2024-11-01,801,YEAR,1,SUM,2024/2025,Hectare,1000
Soft wheat,NORTH BELT,area_planted,2024-11-01,640,YEAR,1,SUM,2024/2025,Hectare,1000
Corn,SALTA TUCUMAN,area_planted,2025-02-01,347,YEAR,1,SUM,2024/2025,Hectare,1000
