"Date Reporter","Product","Reporter_MappedCode","Partner","CropYear","Month","MonthYear","Year","Quantity","Forecast","Product_Name","Reporter_MappedName","Partner_Name","Group_Reporter","Group_Partner"
"2009-09-01","SBM","ARG","BEL","2009/10","09","2009-09",2009,41.708,false,"Soybean Meal","Argentina","Belgium","other","European Union and UK"
"2009-09-01","SBM","ARG","BRA","2009/10","09","2009-09",2009,3.64e-06,false,"Soybean Meal","Argentina","Brazil","other","South America"
"2009-09-01","SBM","ARG","CHN","2009/10","09","2009-09",2009,0.509,false,"Soybean Meal","Argentina","China","other","China"
"2009-09-01","SBM","ARG","DEU","2009/10","09","2009-09",2009,39.01,false,"Soybean Meal","Argentina","Germany","other","European Union and UK"
"2009-09-01","SBM","ARG","DNK","2009/10","09","2009-09",2009,61.685,false,"Soybean Meal","Argentina","Denmark","other","European Union and UK"
"2009-09-01","SBM","ARG","EGY","2009/10","09","2009-09",2009,0.129,false,"Soybean Meal","Argentina","Egypt","other","North Africa"
"2009-09-01","SBM","ARG","ESP","2009/10","09","2009-09",2009,239.3139,false,"Soybean Meal","Argentina","Spain","other","European Union and UK"
"2009-09-01","SBM","ARG","FRA","2009/10","09","2009-09",2009,24.18,false,"Soybean Meal","Argentina","France","other","European Union and UK"
"2009-09-01","SBM","ARG","GBR","2009/10","09","2009-09",2009,135.0255,false,"Soybean Meal","Argentina","United Kingdom","other","European Union and UK"
"2009-09-01","SBM","ARG","GRC","2009/10","09","2009-09",2009,33.2467,false,"Soybean Meal","Argentina","Greece","other","European Union and UK"
"2009-09-01","SBM","ARG","IDN","2009/10","09","2009-09",2009,91.5669,false,"Soybean Meal","Argentina","Indonesia","other","South Asia"
"2009-09-01","SBM","ARG","IRN","2009/10","09","2009-09",2009,31,false,"Soybean Meal","Argentina","Iran","other","Middle East"
"2009-09-01","SBM","ARG","ITA","2009/10","09","2009-09",2009,150.02504,false,"Soybean Meal","Argentina","Italy","other","European Union and UK"
"2009-09-01","SBM","ARG","KOR","2009/10","09","2009-09",2009,42.5013,false,"Soybean Meal","Argentina","South Korea","other","East Asia"
"2009-09-01","SBM","ARG","MYS","2009/10","09","2009-09",2009,34.3231,false,"Soybean Meal","Argentina","Malaysia","other","South Asia"
"2009-09-01","SBM","ARG","NLD","2009/10","09","2009-09",2009,127.165,false,"Soybean Meal","Argentina","Netherlands","other","European Union and UK"
"2009-09-01","SBM","ARG","PHL","2009/10","09","2009-09",2009,45.784,false,"Soybean Meal","Argentina","Philippines","other","South Asia"
"2009-09-01","SBM","ARG","POL","2009/10","09","2009-09",2009,111.631,false,"Soybean Meal","Argentina","Poland","other","European Union and UK"
"2009-09-01","SBM","ARG","PRY","2009/10","09","2009-09",2009,0.0431,false,"Soybean Meal","Argentina","Paraguay","other","South America"
"2009-09-01","SBM","ARG","ROU","2009/10","09","2009-09",2009,10.5795,false,"Soybean Meal","Argentina","Romania","other","European Union and UK"
"2009-09-01","SBM","ARG","ROW","2009/10","09","2009-09",2009,276.44539,false,"Soybean Meal","Argentina","Rest of the World","other","Other"
