Date Reporter,Product,Reporter_MappedCode,Partner,CropYear,Month,MonthYear,Year,Quantity,Forecast,Product_Name,Reporter_MappedName,Partner_Name,Group_Reporter,Group_Partner
1/1/2016,BLY,ESP,BEL,2016/17,1,2016-01,2016,0.07794,FALSE,Barley,Spain,Belgium,other,Europe
1/1/2016,BLY,ESP,CHE,2016/17,1,2016-01,2016,0.000016,FALSE,Barley,Spain,Switzerland,other,other
1/1/2016,BLY,ESP,DEU,2016/17,1,2016-01,2016,0.000388,FALSE,Barley,Spain,Germany,other,Europe
1/1/2016,BLY,ESP,FRA,2016/17,1,2016-01,2016,0.4244,FALSE,Barley,Spain,France,other,Europe
1/1/2016,BLY,ESP,ITA,2016/17,1,2016-01,2016,0.024,FALSE,Barley,Spain,Italy,other,Europe
1/1/2016,BLY,ESP,PRT,2016/17,1,2016-01,2016,0.8024,FALSE,Barley,Spain,Portugal,other,Europe
1/1/2016,BLY,ESP,ROW,2016/17,1,2016-01,2016,0.02272,FALSE,Barley,Spain,Rest of the World,other,Other
1/1/2016,CRN,ESP,BEL,2016/17,1,2016-01,2016,0.09048,FALSE,Corn,Spain,Belgium,other,Europe
1/1/2016,CRN,ESP,CZE,2016/17,1,2016-01,2016,0.027369,FALSE,Corn,Spain,Czech Republic,other,Europe
1/1/2016,CRN,ESP,DEU,2016/17,1,2016-01,2016,0.608942,FALSE,Corn,Spain,Germany,other,Europe
1/1/2016,CRN,ESP,ESP,2016/17,1,2016-01,2016,0.000065,FALSE,Corn,Spain,Spain,other,Europe
1/1/2016,CRN,ESP,FRA,2016/17,1,2016-01,2016,0.912923,FALSE,Corn,Spain,France,other,Europe
1/1/2016,CRN,ESP,GBR,2016/17,1,2016-01,2016,0.035483,FALSE,Corn,Spain,United Kingdom,other,Europe
1/1/2016,CRN,ESP,GRC,2016/17,1,2016-01,2016,0.021876,FALSE,Corn,Spain,Greece,other,Europe
1/1/2016,CRN,ESP,ITA,2016/17,1,2016-01,2016,1.727578,FALSE,Corn,Spain,Italy,other,Europe
1/1/2016,CRN,ESP,LBN,2016/17,1,2016-01,2016,0.232,FALSE,Corn,Spain,Lebanon,other,other
1/1/2016,CRN,ESP,MAR,2016/17,1,2016-01,2016,0.20821,FALSE,Corn,Spain,Morocco,other,other
1/1/2016,CRN,ESP,NLD,2016/17,1,2016-01,2016,0.00015,FALSE,Corn,Spain,Netherlands,other,Europe
1/1/2016,CRN,ESP,NOR,2016/17,1,2016-01,2016,0.02678,FALSE,Corn,Spain,Norway,other,other
1/1/2016,CRN,ESP,POL,2016/17,1,2016-01,2016,0.23845,FALSE,Corn,Spain,Poland,other,Europe
1/1/2016,CRN,ESP,PRT,2016/17,1,2016-01,2016,4.813113,FALSE,Corn,Spain,Portugal,other,Europe
1/1/2016,CRN,ESP,ROW,2016/17,1,2016-01,2016,0.067625,FALSE,Corn,Spain,Rest of the World,other,Other
1/1/2016,CRN,ESP,SWE,2016/17,1,2016-01,2016,0.00312,FALSE,Corn,Spain,Sweden,other,Europe
1/1/2016,DDGS,ESP,PRT,2016/17,1,2016-01,2016,0.37998,FALSE,Dry Distiller Grains,Spain,Portugal,other,Europe
1/1/2016,POL,ESP,BEL,2016/17,1,2016-01,2016,0.00048,FALSE,Palm Oil,Spain,Belgium,other,Europe
1/1/2016,POL,ESP,BGR,2016/17,1,2016-01,2016,0.00072,FALSE,Palm Oil,Spain,Bulgaria,other,Europe
1/1/2016,POL,ESP,CHE,2016/17,1,2016-01,2016,0.22396,FALSE,Palm Oil,Spain,Switzerland,other,other
1/1/2016,POL,ESP,FRA,2016/17,1,2016-01,2016,0.502264,FALSE,Palm Oil,Spain,France,other,Europe
1/1/2016,POL,ESP,ITA,2016/17,1,2016-01,2016,0.601022,FALSE,Palm Oil,Spain,Italy,other,Europe
1/1/2016,POL,ESP,MLT,2016/17,1,2016-01,2016,0.00001,FALSE,Palm Oil,Spain,Malta,other,Europe
1/1/2016,POL,ESP,NLD,2016/17,1,2016-01,2016,0.000146,FALSE,Palm Oil,Spain,Netherlands,other,Europe
1/1/2016,POL,ESP,PRT,2016/17,1,2016-01,2016,1.786844,FALSE,Palm Oil,Spain,Portugal,other,Europe
1/1/2016,POL,ESP,ROW,2016/17,1,2016-01,2016,0.002039,FALSE,Palm Oil,Spain,Rest of the World,other,Other
1/1/2016,RSM,ESP,DEU,2016/17,1,2016-01,2016,0.000013,FALSE,Rapeseed Meal,Spain,Germany,other,Europe
1/1/2016,RSM,ESP,FRA,2016/17,1,2016-01,2016,3.72004,FALSE,Rapeseed Meal,Spain,France,other,Europe
1/1/2016,RSM,ESP,NLD,2016/17,1,2016-01,2016,0.031545,FALSE,Rapeseed Meal,Spain,Netherlands,other,Europe
1/1/2016,RSM,ESP,PRT,2016/17,1,2016-01,2016,0.26078,FALSE,Rapeseed Meal,Spain,Portugal,other,Europe
1/1/2016,RSO,ESP,DNK,2016/17,1,2016-01,2016,0.007152,FALSE,Rapeseed Oil,Spain,Denmark,other,Europe
1/1/2016,RSO,ESP,FRA,2016/17,1,2016-01,2016,0.004731,FALSE,Rapeseed Oil,Spain,France,other,Europe
1/1/2016,RSO,ESP,GBR,2016/17,1,2016-01,2016,0.011542,FALSE,Rapeseed Oil,Spain,United Kingdom,other,Europe
1/1/2016,RSO,ESP,ISR,2016/17,1,2016-01,2016,0.04376,FALSE,Rapeseed Oil,Spain,Israel,other,other
1/1/2016,RSO,ESP,NLD,2016/17,1,2016-01,2016,0.001832,FALSE,Rapeseed Oil,Spain,Netherlands,other,Europe
1/1/2016,RSO,ESP,PRT,2016/17,1,2016-01,2016,0.04156,FALSE,Rapeseed Oil,Spain,Portugal,other,Europe
1/1/2016,RSO,ESP,ROU,2016/17,1,2016-01,2016,0.000766,FALSE,Rapeseed Oil,Spain,Romania,other,Europe
1/1/2016,RSO,ESP,ROW,2016/17,1,2016-01,2016,0.002717,FALSE,Rapeseed Oil,Spain,Rest of the World,other,Other
1/1/2016,RSO,ESP,ZAF,2016/17,1,2016-01,2016,0.193368,FALSE,Rapeseed Oil,Spain,South Africa,other,other
1/1/2016,RSS,ESP,DEU,2016/17,1,2016-01,2016,0.01121,FALSE,Rapeseed,Spain,Germany,other,Europe
1/1/2016,RSS,ESP,POL,2016/17,1,2016-01,2016,0.00001,FALSE,Rapeseed,Spain,Poland,other,Europe
1/1/2016,RSS,ESP,PRT,2016/17,1,2016-01,2016,0.129947,FALSE,Rapeseed,Spain,Portugal,other,Europe
1/1/2016,RSS,ESP,USA,2016/17,1,2016-01,2016,0.000003,FALSE,Rapeseed,Spain,United States,other,other
1/1/2016,SBM,ESP,AUT,2016/17,1,2016-01,2016,0.001921,FALSE,Soybean Meal,Spain,Austria,other,Europe
1/1/2016,SBM,ESP,BEL,2016/17,1,2016-01,2016,0.00446,FALSE,Soybean Meal,Spain,Belgium,other,Europe
1/1/2016,SBM,ESP,BGR,2016/17,1,2016-01,2016,0.00144,FALSE,Soybean Meal,Spain,Bulgaria,other,Europe
1/1/2016,SBM,ESP,CHE,2016/17,1,2016-01,2016,0.001473,FALSE,Soybean Meal,Spain,Switzerland,other,other
1/1/2016,SBM,ESP,CHN,2016/17,1,2016-01,2016,0.000068,FALSE,Soybean Meal,Spain,China,other,other
1/1/2016,SBM,ESP,CYP,2016/17,1,2016-01,2016,6.000757,FALSE,Soybean Meal,Spain,Cyprus,other,Europe
1/1/2016,SBM,ESP,CZE,2016/17,1,2016-01,2016,0.00079,FALSE,Soybean Meal,Spain,Czech Republic,other,Europe
1/1/2016,SBM,ESP,DEU,2016/17,1,2016-01,2016,0.12517,FALSE,Soybean Meal,Spain,Germany,other,Europe
1/1/2016,SBM,ESP,DNK,2016/17,1,2016-01,2016,0.000284,FALSE,Soybean Meal,Spain,Denmark,other,Europe
1/1/2016,SBM,ESP,ESP,2016/17,1,2016-01,2016,0.026642,FALSE,Soybean Meal,Spain,Spain,other,Europe
1/1/2016,SBM,ESP,FRA,2016/17,1,2016-01,2016,21.915945,FALSE,Soybean Meal,Spain,France,other,Europe
1/1/2016,SBM,ESP,GBR,2016/17,1,2016-01,2016,0.13039,FALSE,Soybean Meal,Spain,United Kingdom,other,Europe
1/1/2016,SBM,ESP,GRC,2016/17,1,2016-01,2016,0.00198,FALSE,Soybean Meal,Spain,Greece,other,Europe
