"Date Reporter","Product","Reporter_MappedCode","Partner","CropYear","Month","MonthYear","Year","Quantity","Forecast","Product_Name","Reporter_MappedName","Partner_Name","Group_Reporter","Group_Partner"
"2016-01-01","BLY","ESP","BEL","2016/17","01","2016-01",2016,0.077940000000,false,"Barley","Spain","Belgium","other","Europe"
"2016-01-01","BLY","ESP","CHE","2016/17","01","2016-01",2016,0.000016000000,false,"Barley","Spain","Switzerland","other","other"
"2016-01-01","BLY","ESP","DEU","2016/17","01","2016-01",2016,0.000388000000,false,"Barley","Spain","Germany","other","Europe"
"2016-01-01","BLY","ESP","FRA","2016/17","01","2016-01",2016,0.424400000000,false,"Barley","Spain","France","other","Europe"
"2016-01-01","BLY","ESP","ITA","2016/17","01","2016-01",2016,0.024000000000,false,"Barley","Spain","Italy","other","Europe"
"2016-01-01","BLY","ESP","PRT","2016/17","01","2016-01",2016,0.802400000000,false,"Barley","Spain","Portugal","other","Europe"
"2016-01-01","BLY","ESP","ROW","2016/17","01","2016-01",2016,0.022720000000,false,"Barley","Spain","Rest of the World","other","Other"
"2016-01-01","CRN","ESP","BEL","2016/17","01","2016-01",2016,0.090480000000,false,"Corn","Spain","Belgium","other","Europe"
"2016-01-01","CRN","ESP","CZE","2016/17","01","2016-01",2016,0.027369000000,false,"Corn","Spain","Czech Republic","other","Europe"
"2016-01-01","CRN","ESP","DEU","2016/17","01","2016-01",2016,0.608942000000,false,"Corn","Spain","Germany","other","Europe"
"2016-01-01","CRN","ESP","ESP","2016/17","01","2016-01",2016,0.000065000000,false,"Corn","Spain","Spain","other","Europe"
"2016-01-01","CRN","ESP","FRA","2016/17","01","2016-01",2016,0.912923000000,false,"Corn","Spain","France","other","Europe"
"2016-01-01","CRN","ESP","GBR","2016/17","01","2016-01",2016,0.035483000000,false,"Corn","Spain","United Kingdom","other","Europe"
"2016-01-01","CRN","ESP","GRC","2016/17","01","2016-01",2016,0.021876000000,false,"Corn","Spain","Greece","other","Europe"
"2016-01-01","CRN","ESP","ITA","2016/17","01","2016-01",2016,1.727578000000,false,"Corn","Spain","Italy","other","Europe"
"2016-01-01","CRN","ESP","LBN","2016/17","01","2016-01",2016,0.232000000000,false,"Corn","Spain","Lebanon","other","other"
"2016-01-01","CRN","ESP","MAR","2016/17","01","2016-01",2016,0.208210000000,false,"Corn","Spain","Morocco","other","other"
"2016-01-01","CRN","ESP","NLD","2016/17","01","2016-01",2016,0.000150000000,false,"Corn","Spain","Netherlands","other","Europe"
"2016-01-01","CRN","ESP","NOR","2016/17","01","2016-01",2016,0.026780000000,false,"Corn","Spain","Norway","other","other"
"2016-01-01","CRN","ESP","POL","2016/17","01","2016-01",2016,0.238450000000,false,"Corn","Spain","Poland","other","Europe"
"2016-01-01","CRN","ESP","PRT","2016/17","01","2016-01",2016,4.813113000000,false,"Corn","Spain","Portugal","other","Europe"
"2016-01-01","CRN","ESP","ROW","2016/17","01","2016-01",2016,0.067625000000,false,"Corn","Spain","Rest of the World","other","Other"
"2016-01-01","CRN","ESP","SWE","2016/17","01","2016-01",2016,0.003120000000,false,"Corn","Spain","Sweden","other","Europe"
"2016-01-01","DDGS","ESP","PRT","2016/17","01","2016-01",2016,0.379980000000,false,"Dry Distiller Grains","Spain","Portugal","other","Europe"
"2016-01-01","POL","ESP","BEL","2016/17","01","2016-01",2016,0.000480000000,false,"Palm Oil","Spain","Belgium","other","Europe"
"2016-01-01","POL","ESP","BGR","2016/17","01","2016-01",2016,0.000720000000,false,"Palm Oil","Spain","Bulgaria","other","Europe"
"2016-01-01","POL","ESP","CHE","2016/17","01","2016-01",2016,0.223960000000,false,"Palm Oil","Spain","Switzerland","other","other"
"2016-01-01","POL","ESP","FRA","2016/17","01","2016-01",2016,0.502264000000,false,"Palm Oil","Spain","France","other","Europe"
"2016-01-01","POL","ESP","ITA","2016/17","01","2016-01",2016,0.601022000000,false,"Palm Oil","Spain","Italy","other","Europe"
"2016-01-01","POL","ESP","MLT","2016/17","01","2016-01",2016,0.000010000000,false,"Palm Oil","Spain","Malta","other","Europe"
"2016-01-01","POL","ESP","NLD","2016/17","01","2016-01",2016,0.000146000000,false,"Palm Oil","Spain","Netherlands","other","Europe"
"2016-01-01","POL","ESP","PRT","2016/17","01","2016-01",2016,1.786844000000,false,"Palm Oil","Spain","Portugal","other","Europe"
"2016-01-01","POL","ESP","ROW","2016/17","01","2016-01",2016,0.002039000000,false,"Palm Oil","Spain","Rest of the World","other","Other"
"2016-01-01","RSM","ESP","DEU","2016/17","01","2016-01",2016,0.000013000000,false,"Rapeseed Meal","Spain","Germany","other","Europe"
"2016-01-01","RSM","ESP","FRA","2016/17","01","2016-01",2016,3.720040000000,false,"Rapeseed Meal","Spain","France","other","Europe"
"2016-01-01","RSM","ESP","NLD","2016/17","01","2016-01",2016,0.031545000000,false,"Rapeseed Meal","Spain","Netherlands","other","Europe"
"2016-01-01","RSM","ESP","PRT","2016/17","01","2016-01",2016,0.260780000000,false,"Rapeseed Meal","Spain","Portugal","other","Europe"
"2016-01-01","RSO","ESP","DNK","2016/17","01","2016-01",2016,0.007152000000,false,"Rapeseed Oil","Spain","Denmark","other","Europe"
"2016-01-01","RSO","ESP","FRA","2016/17","01","2016-01",2016,0.004731000000,false,"Rapeseed Oil","Spain","France","other","Europe"
"2016-01-01","RSO","ESP","GBR","2016/17","01","2016-01",2016,0.011542000000,false,"Rapeseed Oil","Spain","United Kingdom","other","Europe"
"2016-01-01","RSO","ESP","ISR","2016/17","01","2016-01",2016,0.043760000000,false,"Rapeseed Oil","Spain","Israel","other","other"
"2016-01-01","RSO","ESP","NLD","2016/17","01","2016-01",2016,0.001832000000,false,"Rapeseed Oil","Spain","Netherlands","other","Europe"
"2016-01-01","RSO","ESP","PRT","2016/17","01","2016-01",2016,0.041560000000,false,"Rapeseed Oil","Spain","Portugal","other","Europe"
"2016-01-01","RSO","ESP","ROU","2016/17","01","2016-01",2016,0.000766000000,false,"Rapeseed Oil","Spain","Romania","other","Europe"
"2016-01-01","RSO","ESP","ROW","2016/17","01","2016-01",2016,0.002717000000,false,"Rapeseed Oil","Spain","Rest of the World","other","Other"
"2016-01-01","RSO","ESP","ZAF","2016/17","01","2016-01",2016,0.193368000000,false,"Rapeseed Oil","Spain","South Africa","other","other"
"2016-01-01","RSS","ESP","DEU","2016/17","01","2016-01",2016,0.011210000000,false,"Rapeseed","Spain","Germany","other","Europe"
"2016-01-01","RSS","ESP","POL","2016/17","01","2016-01",2016,0.000010000000,false,"Rapeseed","Spain","Poland","other","Europe"
"2016-01-01","RSS","ESP","PRT","2016/17","01","2016-01",2016,0.129947000000,false,"Rapeseed","Spain","Portugal","other","Europe"
"2016-01-01","RSS","ESP","USA","2016/17","01","2016-01",2016,0.000003000000,false,"Rapeseed","Spain","United States","other","other"
"2016-01-01","SBM","ESP","CYP","2016/17","01","2016-01",2016,6.000000000000,false,"Soybean Meal","Spain","Cyprus","other","Europe"
"2016-01-01","SBM","ESP","DEU","2016/17","01","2016-01",2016,0.091250000000,false,"Soybean Meal","Spain","Germany","other","Europe"
"2016-01-01","SBM","ESP","FRA","2016/17","01","2016-01",2016,21.863824000000,false,"Soybean Meal","Spain","France","other","Europe"
"2016-01-01","SBM","ESP","GBR","2016/17","01","2016-01",2016,0.129960000000,false,"Soybean Meal","Spain","United Kingdom","other","Europe"
"2016-01-01","SBM","ESP","GRC","2016/17","01","2016-01",2016,0.000271000000,false,"Soybean Meal","Spain","Greece","other","Europe"
"2016-01-01","SBM","ESP","ITA","2016/17","01","2016-01",2016,6.000000000000,false,"Soybean Meal","Spain","Italy","other","Europe"
"2016-01-01","SBM","ESP","POL","2016/17","01","2016-01",2016,0.000050000000,false,"Soybean Meal","Spain","Poland","other","Europe"
"2016-01-01","SBM","ESP","PRT","2016/17","01","2016-01",2016,6.119092000000,false,"Soybean Meal","Spain","Portugal","other","Europe"
"2016-01-01","SBM","ESP","ROW","2016/17","01","2016-01",2016,0.003741000000,false,"Soybean Meal","Spain","Rest of the World","other","Other"
"2016-01-01","SBM","ESP","SWE","2016/17","01","2016-01",2016,0.001460000000,false,"Soybean Meal","Spain","Sweden","other","Europe"
"2016-01-01","SBM","ESP","TUR","2016/17","01","2016-01",2016,5.500000000000,false,"Soybean Meal","Spain","Turkey","other","other"
"2016-01-01","SBO","ESP","CHN","2016/17","01","2016-01",2016,0.000600000000,false,"Soybean Oil","Spain","China","other","other"
"2016-01-01","SBO","ESP","DEU","2016/17","01","2016-01",2016,0.001930000000,false,"Soybean Oil","Spain","Germany","other","Europe"
"2016-01-01","SBO","ESP","DZA","2016/17","01","2016-01",2016,9.000000000000,false,"Soybean Oil","Spain","Algeria","other","other"
"2016-01-01","SBO","ESP","EGY","2016/17","01","2016-01",2016,13.150000000000,false,"Soybean Oil","Spain","Egypt","other","other"
"2016-01-01","SBO","ESP","FRA","2016/17","01","2016-01",2016,0.604094000000,false,"Soybean Oil","Spain","France","other","Europe"
"2016-01-01","SBO","ESP","GBR","2016/17","01","2016-01",2016,0.002693000000,false,"Soybean Oil","Spain","United Kingdom","other","Europe"
"2016-01-01","SBO","ESP","GRC","2016/17","01","2016-01",2016,0.022400000000,false,"Soybean Oil","Spain","Greece","other","Europe"
"2016-01-01","SBO","ESP","HRV","2016/17","01","2016-01",2016,0.005060000000,false,"Soybean Oil","Spain","Croatia","other","Europe"
"2016-01-01","SBO","ESP","IRL","2016/17","01","2016-01",2016,0.003778000000,false,"Soybean Oil","Spain","Ireland","other","Europe"
"2016-01-01","SBO","ESP","ITA","2016/17","01","2016-01",2016,0.026620000000,false,"Soybean Oil","Spain","Italy","other","Europe"
"2016-01-01","SBO","ESP","LBN","2016/17","01","2016-01",2016,0.002356000000,false,"Soybean Oil","Spain","Lebanon","other","other"
"2016-01-01","SBO","ESP","MAR","2016/17","01","2016-01",2016,12.150000000000,false,"Soybean Oil","Spain","Morocco","other","other"
