"Source","Source_MappedName","Location","Location_MappedName","Crop Year ","Commodity","Commodity_MappedName","Irrigation type","Rotation","Tilled","Soil type ","Item","Item_MappedName","Value","Unit","Unit_MappedName","Unit multiplier","Currency","Currency_MappedName"
"NDSU","North Dakota University","NO_WE_ND","North West ND","2025/2026","HRS","Hard Red Spring",,,,,"SEED","Seed",21.000000,"AC","Acre",1.000000,"USD","US Dollar"
"NDSU","North Dakota University","NO_WE_ND","North West ND","2025/2026","HRS","Hard Red Spring",,,,,"HERBICIDE","Herbicide",28.700000,"AC","Acre",1.000000,"USD","US Dollar"
"NDSU","North Dakota University","NO_WE_ND","North West ND","2025/2026","HRS","Hard Red Spring",,,,,"FUNGICIDE","Fungicide",6.500000,"AC","Acre",1.000000,"USD","US Dollar"
"NDSU","North Dakota University","NO_WE_ND","North West ND","2025/2026","HRS","Hard Red Spring",,,,,"INSECTICIDE","Insecticide",0.000000,"AC","Acre",1.000000,"USD","US Dollar"
"NDSU","North Dakota University","NO_WE_ND","North West ND","2025/2026","HRS","Hard Red Spring",,,,,"FERTS","Fertilizers",77.010000,"AC","Acre",1.000000,"USD","US Dollar"
"NDSU","North Dakota University","NO_WE_ND","North West ND","2025/2026","HRS","Hard Red Spring",,,,,"CROP_INSURR","Crop Insurance",5.100000,"AC","Acre",1.000000,"USD","US Dollar"
"NDSU","North Dakota University","NO_WE_ND","North West ND","2025/2026","HRS","Hard Red Spring",,,,,"ENERGY","Energy",12.710000,"AC","Acre",1.000000,"USD","US Dollar"
"NDSU","North Dakota University","NO_WE_ND","North West ND","2025/2026","HRS","Hard Red Spring",,,,,"REPAIR","Repairs",19.740000,"AC","Acre",1.000000,"USD","US Dollar"
"NDSU","North Dakota University","NO_WE_ND","North West ND","2025/2026","HRS","Hard Red Spring",,,,,"DRY","Drying",0.000000,"AC","Acre",1.000000,"USD","US Dollar"
"NDSU","North Dakota University","NO_WE_ND","North West ND","2025/2026","HRS","Hard Red Spring",,,,,"OTHER_VAR_COST","Other Variable Cost",10.000000,"AC","Acre",1.000000,"USD","US Dollar"
"NDSU","North Dakota University","NO_WE_ND","North West ND","2025/2026","HRS","Hard Red Spring",,,,,"FINANCE_INTEREST","Financial Interest",6.780000,"AC","Acre",1.000000,"USD","US Dollar"
"NDSU","North Dakota University","NO_WE_ND","North West ND","2025/2026","HRS","Hard Red Spring",,,,,"GENERAL_FOH","General Farm Overheads",9.280000,"AC","Acre",1.000000,"USD","US Dollar"
"NDSU","North Dakota University","NO_WE_ND","North West ND","2025/2026","HRS","Hard Red Spring",,,,,"MACHI_EQUIP_DEPRECIAT","Machine & Equipment Depreciation",23.730000,"AC","Acre",1.000000,"USD","US Dollar"
"NDSU","North Dakota University","NO_WE_ND","North West ND","2025/2026","HRS","Hard Red Spring",,,,,"MACHINERY","Machinery Cost",11.430000,"AC","Acre",1.000000,"USD","US Dollar"
"NDSU","North Dakota University","NO_WE_ND","North West ND","2025/2026","HRS","Hard Red Spring",,,,,"LEASE_OPPORT_LAND","Leasing & Opportunity Cost Of Land",39.000000,"AC","Acre",1.000000,"USD","US Dollar"
"NDSU","North Dakota University","SO_C_ND","South Central ND","2025/2026","SFS","Sunflower Seed",,,,,"YIELD","Yield",1800.000000,"AC","Acre",1.000000,"USD","US Dollar"
